TransactionId,Region,Category,SalesRep,Quantity,Revenue,Cost,Status,TransactionDate
137,Europe,Electronics,Diana Prince,27,786.24,528.49,Processing,2025-11-14
138,Europe,Home Appliances,Alice Johnson,31,1457.31,754.15,Processing,2025-11-22
139,Latin America,Electronics,George Clark,22,764.28,522.49,Pending,2025-10-05
140,Latin America,Office Supplies,Alice Johnson,55,4431.9,2507.41,Shipped,2025-08-24
141,Asia-Pacific,Office Supplies,George Clark,87,9821.43,6282.76,Pending,2025-03-09
142,Europe,Furniture,Evan Wright,21,2333.1,1626.62,Shipped,2025-04-15
143,Latin America,Electronics,Fiona Gallagher,69,6836.52,4621.43,Pending,2025-01-13
144,Europe,Apparel,Charlie Brown,10,1453.2,757.03,Shipped,2025-09-15
145,Latin America,Office Supplies,Alice Johnson,60,1137.6,736.49,Pending,2025-07-13
146,Asia-Pacific,Home Appliances,Charlie Brown,79,4543.29,2938.45,Processing,2025-07-15
147,North America,Electronics,Fiona Gallagher,44,7672.28,3515.69,Processing,2025-03-14
148,Latin America,Office Supplies,Bob Smith,68,7499.72,5144.96,Shipped,2025-02-21
149,Europe,Office Supplies,Diana Prince,56,1755.6,1203.62,Shipped,2025-05-07
150,North America,Home Appliances,George Clark,96,11578.56,5562.66,Completed,2025-03-15
151,Latin America,Furniture,Alice Johnson,37,3039.55,1773.05,Pending,2025-09-02
152,North America,Office Supplies,Bob Smith,59,8330.8,4660.42,Shipped,2025-05-03
153,North America,Furniture,Evan Wright,61,1568.31,928.5,Processing,2025-10-09
154,Asia-Pacific,Home Appliances,Evan Wright,87,9577.83,6531.43,Processing,2025-02-24
155,Asia-Pacific,Electronics,Alice Johnson,25,4185.75,1923.49,Completed,2025-09-24
156,North America,Furniture,Charlie Brown,67,8828.59,4959.25,Pending,2025-02-25
157,Latin America,Electronics,Evan Wright,77,8732.57,3995.62,Completed,2025-11-25
158,Europe,Office Supplies,Evan Wright,90,8935.2,5685.06,Processing,2025-09-09
159,Latin America,Home Appliances,Alice Johnson,64,12147.2,6038.69,Shipped,2025-06-16
160,Latin America,Furniture,Bob Smith,30,4981.5,2932.7,Completed,2025-11-02
161,North America,Office Supplies,Charlie Brown,17,1221.45,806.33,Processing,2025-07-08
162,North America,Furniture,Charlie Brown,54,10373.4,5341.55,Shipped,2025-06-09
163,Latin America,Electronics,Diana Prince,88,6160,4213.84,Shipped,2025-02-19
164,Asia-Pacific,Office Supplies,Bob Smith,13,2536.17,1369.64,Shipped,2025-06-06
165,North America,Furniture,Evan Wright,2,47.52,28.54,Shipped,2025-11-04
166,North America,Home Appliances,Fiona Gallagher,75,13346.25,7487.76,Pending,2025-08-26
167,Asia-Pacific,Office Supplies,Evan Wright,69,1896.81,1137.27,Completed,2025-02-05
168,North America,Furniture,Bob Smith,59,1095.04,680.02,Processing,2025-03-04
169,Asia-Pacific,Electronics,Alice Johnson,19,3747.75,1838.57,Pending,2025-09-04
170,Latin America,Furniture,Evan Wright,45,4765.5,3301.31,Pending,2025-09-03
171,Europe,Electronics,Evan Wright,16,3086.56,2067.67,Processing,2025-06-18
172,Latin America,Apparel,Charlie Brown,64,7780.48,4814.7,Processing,2025-09-15
173,Latin America,Electronics,Bob Smith,85,16269,11140.71,Shipped,2025-08-20
174,Europe,Apparel,George Clark,55,9937.4,6758.77,Shipped,2025-03-06
175,Europe,Electronics,George Clark,54,8269.56,4282.06,Completed,2025-04-06
176,Asia-Pacific,Furniture,Fiona Gallagher,68,10083.72,6819.11,Completed,2025-02-17
177,Latin America,Apparel,Bob Smith,64,7466.24,3639.74,Shipped,2025-05-21
178,Latin America,Electronics,Alice Johnson,80,8460.8,4516.43,Processing,2025-03-19
179,Asia-Pacific,Apparel,Evan Wright,52,6427.2,3990.05,Processing,2025-03-12
180,Latin America,Furniture,Alice Johnson,89,9515.88,4842.7,Completed,2025-01-13
181,North America,Apparel,Diana Prince,2,91.48,62.72,Pending,2025-06-07
182,North America,Electronics,Diana Prince,80,8998.4,6224.25,Pending,2025-04-11
183,Latin America,Furniture,Bob Smith,9,938.52,443.27,Processing,2025-02-02
184,Asia-Pacific,Office Supplies,Bob Smith,32,5196.16,3603.3,Processing,2025-04-13
185,Europe,Electronics,Evan Wright,60,981.6,512.68,Pending,2025-06-01
186,Latin America,Apparel,Diana Prince,25,3249,1527.27,Processing,2025-03-21
187,Europe,Furniture,Evan Wright,37,6870.16,3287.24,Shipped,2025-03-27
188,North America,Office Supplies,George Clark,32,3634.88,1644.23,Processing,2025-08-06
189,Asia-Pacific,Office Supplies,Evan Wright,34,4261.56,2379.77,Completed,2025-02-13
190,Europe,Electronics,Charlie Brown,51,1238.79,862.99,Processing,2025-08-25
191,Latin America,Furniture,Fiona Gallagher,36,2972.16,1362.33,Shipped,2025-03-27
192,North America,Furniture,Charlie Brown,58,7218.68,3925.19,Completed,2025-05-22
193,North America,Electronics,Alice Johnson,55,3774.1,2065.9,Completed,2025-07-05
194,Asia-Pacific,Office Supplies,Alice Johnson,71,10187.08,6036.46,Shipped,2025-02-12
195,Europe,Home Appliances,Alice Johnson,15,682.5,403.71,Pending,2025-04-22
196,North America,Office Supplies,Diana Prince,21,779.31,401.61,Processing,2025-11-16
197,Latin America,Apparel,Fiona Gallagher,46,7536.18,3693.3,Pending,2025-04-19
198,Latin America,Furniture,Evan Wright,48,4768.32,2289.96,Processing,2025-11-16
199,Asia-Pacific,Apparel,George Clark,51,3486.87,1969.49,Shipped,2025-04-05
200,Asia-Pacific,Home Appliances,Charlie Brown,56,9415.84,4425.85,Shipped,2025-08-11
201,Asia-Pacific,Home Appliances,Charlie Brown,21,3647.91,2079.3,Pending,2025-07-27
202,North America,Furniture,George Clark,62,4364.18,2549.69,Completed,2025-07-08
203,Asia-Pacific,Home Appliances,Bob Smith,3,140.34,83.21,Pending,2025-06-12
204,Europe,Electronics,Fiona Gallagher,65,11191.7,5179.1,Shipped,2025-05-27
205,North America,Furniture,Diana Prince,42,8072.82,4245.67,Completed,2025-03-26
206,North America,Office Supplies,Charlie Brown,39,8053.89,4629.11,Completed,2025-06-20
207,North America,Furniture,George Clark,81,12742.92,6947.03,Completed,2025-02-17
208,North America,Office Supplies,Evan Wright,5,282.2,148.84,Completed,2025-04-09
209,Latin America,Office Supplies,Diana Prince,15,2596.65,1309.29,Pending,2025-05-25
210,North America,Furniture,Evan Wright,32,1515.52,709.42,Shipped,2025-11-05
211,North America,Home Appliances,Diana Prince,79,5838.1,3044.1,Shipped,2025-02-23
212,North America,Electronics,Diana Prince,72,1908.72,1161.54,Completed,2025-08-03
213,North America,Apparel,Alice Johnson,99,10297.98,6660.09,Completed,2025-04-22
214,Latin America,Furniture,Alice Johnson,11,345.51,159.17,Processing,2025-04-10
215,Latin America,Electronics,Evan Wright,11,262.46,181.12,Pending,2025-11-10
216,Europe,Home Appliances,Evan Wright,18,2501.64,1178.3,Processing,2025-11-07
217,North America,Home Appliances,George Clark,96,11314.56,6502.49,Completed,2025-04-20
218,Asia-Pacific,Apparel,George Clark,7,732.2,460.51,Pending,2025-09-18
219,Europe,Home Appliances,Evan Wright,19,335.73,160.23,Completed,2025-05-08
220,North America,Office Supplies,Bob Smith,46,2356.12,1544.93,Pending,2025-11-11
221,Europe,Home Appliances,Alice Johnson,77,13381.06,7117.01,Completed,2025-03-08
222,Europe,Home Appliances,George Clark,85,7976.4,5509.22,Completed,2025-07-02
223,Asia-Pacific,Electronics,Evan Wright,91,11846.38,5982.48,Shipped,2025-04-25
224,Asia-Pacific,Furniture,Bob Smith,62,2001.98,929.4,Processing,2025-05-26
225,Asia-Pacific,Furniture,Alice Johnson,73,15251.89,9621.75,Shipped,2025-08-13
226,Europe,Electronics,Diana Prince,50,9148,4414.67,Shipped,2025-02-27
227,Asia-Pacific,Furniture,George Clark,88,9622.8,6456.44,Pending,2025-10-26
228,North America,Apparel,Charlie Brown,10,1116,626.41,Shipped,2025-05-07
229,Latin America,Home Appliances,Bob Smith,26,1533.74,739.07,Processing,2025-10-07
230,Europe,Apparel,Fiona Gallagher,61,6642.9,3179.73,Pending,2025-05-01
231,North America,Electronics,Diana Prince,91,17795.96,8163.47,Processing,2025-08-01
232,North America,Office Supplies,George Clark,38,1504.04,895.81,Completed,2025-02-08
233,Asia-Pacific,Home Appliances,Alice Johnson,37,783.29,394.99,Processing,2025-06-04
234,North America,Apparel,Alice Johnson,72,11523.6,6546.25,Shipped,2025-05-08
235,Latin America,Furniture,George Clark,70,9397.5,4696.25,Pending,2025-11-09
236,Europe,Furniture,Charlie Brown,81,8168.85,4044.11,Processing,2025-05-12
237,Latin America,Furniture,Fiona Gallagher,41,3837.19,2452.59,Pending,2025-10-27
238,Latin America,Furniture,Fiona Gallagher,59,12260.2,8057.55,Completed,2025-09-24
239,Europe,Furniture,Bob Smith,50,4475.5,2814.41,Processing,2025-11-07
240,Latin America,Office Supplies,George Clark,67,5041.08,2663.26,Processing,2025-07-03
241,Asia-Pacific,Furniture,George Clark,62,11093.66,6656.56,Processing,2025-03-20
242,Asia-Pacific,Electronics,Evan Wright,82,1235.74,731.52,Pending,2025-10-03
243,North America,Office Supplies,Fiona Gallagher,73,8346.82,4104.05,Pending,2025-11-11
244,North America,Furniture,Evan Wright,91,1940.12,1304.21,Processing,2025-03-14
245,Latin America,Apparel,Evan Wright,90,5952.6,3653.42,Pending,2025-03-23
246,Asia-Pacific,Office Supplies,Evan Wright,7,1261.26,629.98,Shipped,2025-02-05
247,North America,Furniture,Evan Wright,39,6079.32,3409.64,Pending,2025-06-25
248,North America,Home Appliances,Bob Smith,45,5862.6,3391.22,Processing,2025-07-02
249,Europe,Apparel,Diana Prince,69,8288.97,5085.17,Processing,2025-08-12
250,Asia-Pacific,Furniture,Bob Smith,31,5147.24,3444.67,Shipped,2025-08-01
251,Latin America,Office Supplies,Charlie Brown,99,10198.98,5450.56,Shipped,2025-07-06
252,Asia-Pacific,Home Appliances,Alice Johnson,35,3694.6,2365.28,Completed,2025-09-13
253,Asia-Pacific,Apparel,Diana Prince,75,12360,6464.72,Completed,2025-09-06
254,Asia-Pacific,Furniture,Evan Wright,79,13779.97,8141.41,Pending,2025-07-02
255,Asia-Pacific,Office Supplies,Fiona Gallagher,25,1067.75,562.75,Completed,2025-11-22
256,Europe,Apparel,George Clark,3,356.13,187.88,Shipped,2025-03-01
257,Europe,Home Appliances,Fiona Gallagher,70,4585,2354.22,Processing,2025-08-07
258,Asia-Pacific,Furniture,Alice Johnson,54,8731.26,4765.65,Pending,2025-01-11
259,Asia-Pacific,Office Supplies,Charlie Brown,75,12930.75,8915.12,Pending,2025-11-04
260,Europe,Home Appliances,Charlie Brown,10,1287.7,835.08,Completed,2025-02-21
261,Europe,Electronics,Evan Wright,81,10447.38,7079.21,Pending,2025-09-19
262,Asia-Pacific,Electronics,Alice Johnson,42,8554.14,4136.84,Completed,2025-07-18
263,Asia-Pacific,Electronics,Alice Johnson,68,11511.72,5499.4,Completed,2025-11-23
264,Latin America,Furniture,Bob Smith,46,4707.18,3252.85,Pending,2025-02-02
265,Asia-Pacific,Furniture,Fiona Gallagher,50,10536,5002.82,Shipped,2025-03-23
266,North America,Electronics,Diana Prince,3,349.98,239.01,Pending,2025-03-02
267,Asia-Pacific,Furniture,Charlie Brown,36,6370.92,4061.44,Shipped,2025-11-11
268,Europe,Furniture,Evan Wright,24,1894.32,1280.97,Processing,2025-06-09
269,Latin America,Apparel,Diana Prince,90,9527.4,6544.35,Completed,2025-01-26
270,Europe,Office Supplies,Charlie Brown,56,3807.44,2085.12,Processing,2025-04-23
271,Asia-Pacific,Apparel,George Clark,9,1074.51,639.1,Shipped,2025-07-27
272,North America,Office Supplies,Fiona Gallagher,45,5815.8,2882.68,Completed,2025-01-12
273,Europe,Office Supplies,Charlie Brown,98,7769.44,5178.66,Shipped,2025-05-11
274,North America,Home Appliances,Evan Wright,24,4908.24,2821.81,Pending,2025-03-20
275,Europe,Home Appliances,Evan Wright,53,3983.48,2264.71,Completed,2025-09-16
276,North America,Furniture,Alice Johnson,50,5589.5,3681.79,Shipped,2025-10-20
277,Europe,Apparel,Fiona Gallagher,11,1745.37,839.13,Processing,2025-06-22
278,Europe,Apparel,Bob Smith,62,3625.76,2406.67,Shipped,2025-09-05
279,Asia-Pacific,Office Supplies,Alice Johnson,44,2570.92,1629.1,Completed,2025-09-03
280,Europe,Furniture,Charlie Brown,55,4570.5,2313.72,Completed,2025-01-13
281,Latin America,Home Appliances,Fiona Gallagher,90,1534.5,889.48,Shipped,2025-02-27
282,Europe,Furniture,Evan Wright,91,14794.78,7766.17,Shipped,2025-01-12
283,Asia-Pacific,Furniture,Charlie Brown,84,7289.52,4410.94,Processing,2025-10-07
284,Europe,Electronics,Bob Smith,65,8212.75,5239.11,Shipped,2025-10-25
285,Europe,Apparel,Diana Prince,56,3694.32,1884.77,Completed,2025-04-14
286,Europe,Furniture,Charlie Brown,90,9669.6,6539.02,Processing,2025-06-19
287,North America,Office Supplies,George Clark,34,864.28,554.97,Pending,2025-01-03
288,Asia-Pacific,Office Supplies,Evan Wright,17,342.55,224.29,Completed,2025-10-09
289,Latin America,Apparel,Fiona Gallagher,30,3385.2,2253.69,Completed,2025-02-14
290,Latin America,Home Appliances,Bob Smith,96,3682.56,2446.63,Shipped,2025-07-13
291,Latin America,Home Appliances,Diana Prince,25,2894.25,1421.41,Processing,2025-06-23
292,Latin America,Furniture,Bob Smith,76,1163.56,571.37,Pending,2025-01-24
293,Latin America,Electronics,Alice Johnson,56,2721.04,1598.03,Processing,2025-10-05
294,Latin America,Home Appliances,Diana Prince,24,2987.76,1762.99,Pending,2025-10-26
295,Latin America,Furniture,Charlie Brown,91,15635.62,9534.8,Pending,2025-11-23
296,Europe,Office Supplies,Alice Johnson,62,12596.54,6479.23,Completed,2025-11-15
297,Europe,Office Supplies,Charlie Brown,95,8270.7,4396.62,Pending,2025-03-16
298,Europe,Office Supplies,Alice Johnson,78,14727.96,6887.54,Processing,2025-04-18
299,Europe,Apparel,Bob Smith,86,11578.18,6211.27,Pending,2025-03-10
300,North America,Apparel,Charlie Brown,23,1628.17,1137.54,Processing,2025-03-13
301,Asia-Pacific,Office Supplies,Charlie Brown,96,13892.16,7006.48,Completed,2025-04-15
302,Asia-Pacific,Apparel,Fiona Gallagher,12,921.48,483.12,Completed,2025-10-10
303,Europe,Home Appliances,Diana Prince,93,14715.39,6652.72,Shipped,2025-03-15
304,North America,Apparel,Bob Smith,65,8150.35,4471.58,Shipped,2025-07-20
305,North America,Furniture,Evan Wright,13,1580.8,729.74,Processing,2025-08-16
306,Asia-Pacific,Home Appliances,Evan Wright,31,2976,2026.76,Completed,2025-07-07
307,Latin America,Apparel,Evan Wright,6,935.88,445.68,Processing,2025-11-17
308,Europe,Home Appliances,Alice Johnson,85,10948,6493.23,Completed,2025-01-12
309,Asia-Pacific,Home Appliances,Fiona Gallagher,76,5595.88,2726.92,Completed,2025-05-13
310,Latin America,Furniture,Charlie Brown,91,2346.89,1239.43,Shipped,2025-06-23
311,North America,Office Supplies,Charlie Brown,40,1842,1245.3,Shipped,2025-08-21
312,Asia-Pacific,Furniture,George Clark,44,2640,1822.59,Completed,2025-03-19
313,Europe,Home Appliances,George Clark,56,7959.84,4089.23,Pending,2025-02-21
314,North America,Office Supplies,George Clark,89,8067.85,5121.75,Shipped,2025-06-16
315,North America,Apparel,Diana Prince,12,365.16,212.36,Processing,2025-07-01
316,Europe,Home Appliances,Fiona Gallagher,82,12851.04,6926.67,Completed,2025-11-16
317,Latin America,Apparel,George Clark,67,4158.02,2295.55,Processing,2025-08-03
318,Latin America,Office Supplies,Diana Prince,30,6230.1,3816.73,Processing,2025-10-12
319,North America,Apparel,Fiona Gallagher,82,16939.56,10165.93,Shipped,2025-09-07
320,Latin America,Electronics,Fiona Gallagher,61,12708.74,8272.69,Pending,2025-10-20
321,Asia-Pacific,Office Supplies,Alice Johnson,30,3106.8,2151.31,Pending,2025-08-01
